epoch,acc,loss,val_acc,val_loss
0,0.846716,0.5201445513787354,0.7407407,0.5731159300715835
1,0.8543195,0.41559059598036774,0.77916664,0.5416877399992059
2,0.9389645,0.2529232030048878,0.85,0.408733375204934
3,0.975858,0.1558228692959046,0.8435185,0.46221844443568477
4,0.9789645,0.1150716286403893,0.85671294,0.4319447349618982
5,0.98609465,0.08108459680831644,0.84560186,0.48800617147375036
6,0.9886686,0.061593705818674266,0.8361111,0.5764510313669841
7,0.9883136,0.05639214187199195,0.8578704,0.4280835348146933
8,0.9931065,0.040743097679237644,0.8474537,0.5138826418806005
9,0.9943195,0.03623610999192712,0.8196759,0.6019674274656508
10,0.99514794,0.03415889334440584,0.84814817,0.5355483953599577
11,0.995355,0.03291102632439348,0.84421295,0.5468207935492198
12,0.9947041,0.03423369922052474,0.83842593,0.561995534102122
13,0.99594676,0.030948797316240843,0.8361111,0.5651758401482193
14,0.9956213,0.03150309436684529,0.84050924,0.5582524866969497
15,0.9956213,0.0314372673410283,0.8391204,0.5620643721686469
16,0.9958284,0.03112011607582047,0.83819443,0.5646643139697888
17,0.9951775,0.03150270318447133,0.8363426,0.5729799895374863
18,0.99544376,0.03097479444371878,0.82337964,0.6031304083488606
19,0.9957988,0.030397972832681863,0.83148146,0.5902873582310146
20,0.99573964,0.02973953006315161,0.8368056,0.5809847116470337
21,0.9955326,0.030580485087527327,0.82453704,0.6057980603641934
22,0.9952367,0.03146365191456834,0.82546294,0.6075818869802687
23,0.9963018,0.02934094676957328,0.8261574,0.6094371173116896
24,0.9959763,0.02972565579872865,0.8324074,0.5944558514489068
25,0.99550295,0.029921397178836122,0.82592595,0.6079673965771993
26,0.9960651,0.02871582580344564,0.83055556,0.60071323050393
27,0.9960947,0.02917107833560402,0.8344907,0.5874022157103927
28,0.99633133,0.028246708452789742,0.8335648,0.5928720937834846
29,0.9960947,0.028391385214656766,0.82546294,0.619184234407213
30,0.99502957,0.030052850312558856,0.837037,0.5927231890183908
31,0.9958284,0.02922949487817358,0.83518517,0.5948889869230765
32,0.99591714,0.02787671617722723,0.8324074,0.6041039126890677
33,0.9959763,0.028318614009657555,0.8363426,0.5911130313520079
34,0.9960947,0.02805874515655478,0.84375,0.5794349595352456
35,0.9962426,0.02752103005199743,0.84583336,0.5801743794370581
36,0.9957692,0.02833903893828392,0.8402778,0.588276368158835
37,0.9960651,0.028163822270356693,0.8354167,0.604372188338527
38,0.9957101,0.02839465162105109,0.837037,0.5968802094459533
39,0.9958284,0.027904773896791527,0.837037,0.5959618204169803
